1,Willoughby Deforest,23,20,25,25,10,18,25,19,22,23,6,8,6,10,10,92,185,193,170
2,Joel Valarie,18,25,24,19,24,21,24,25,16,24,10,10,8,9,6,100,196,183,185
3,Tatyanna Toria,25,24,25,17,15,23,16,21,24,25,7,9,9,10,8,82,172,179,196
4,Paulinho Bernhard,16,23,23,13,19,14,20,22,25,21,6,4,9,6,10,95,135,140,145
5,Braith Layton,19,24,25,18,11,6,12,21,23,15,9,7,8,8,8,92,180,148,172
6,Martinho Vicky,21,15,25,14,25,16,21,17,22,19,7,5,8,7,6,96,189,162,191
7,Adam Tudor,20,19,23,22,20,11,15,21,18,18,4,9,9,6,8,88,146,142,132
8,Juliane Geraldine,20,25,22,25,20,11,20,21,22,23,6,3,9,9,7,82,178,169,165
9,Kale Daryna,25,20,25,25,19,25,23,12,24,15,7,6,9,6,8,96,175,174,154
10,Dinah Maredudd,25,15,25,25,19,14,23,25,21,25,8,8,8,10,5,84,193,148,149
